,name_x,market_cap,number_pages,number_images,number_characters,number_equations
63,Qtum,236880492,27,6,66730,4
64,Enjin Coin,235844570,34,34,46406,5
65,Ravencoin,231881608,11,0,25978,0
66,SingularityNET,231055553,86,103,267419,3
67,OriginTrail,216072032,27,13,49204,1
68,NEM,205483934,58,2,80006,74
69,Reserve Rights,203538062,26,1,61953,0
70,Metis,198878201,21,44,33724,0
71,MimbleWimbleCoin,196744984,5,1,9360,0
72,tBTC,190313887,65,0,129076,28
73,UMA,175741314,26,8,54639,28
74,SwissBorg,173004410,33,87,46617,3
75,API3,168937953,40,0,89609,1
76,Band Protocol,166437664,30,24,46648,2
77,Loopring,165202533,12,0,48559,30
78,Creditcoin,155203196,31,37,63386,4
79,Ontology,154144938,36,0,37300,0
80,Audius,153527698,12,0,43186,3
81,Arcblock,149969728,28,11,51226,1
82,Yield Guild Games,147892092,32,67,44031,4
83,Ocean Protocol,144362731,59,31,142101,52
84,Chromia,144350533,41,3,127112,4
85,Harmony,137687113,22,9,66323,11
86,ICON,137026341,39,38,73901,3
87,STASIS EURO,135482196,7,0,19054,0
88,COTI,129847632,65,40,157044,69
89,Telcoin,128646264,50,50,112440,2
90,World Mobile Token,127236354,12,1,44449,0
91,Orbs,123867244,91,31,260632,2
92,Nano,121737301,8,0,36896,6
93,DigiByte,118591525,18,12,33162,0
94,Ampleforth,118163331,17,0,26802,6
95,WAX,117728532,44,75,59900,0
96,Balancer,117217680,12,1,19839,51
97,Waves,116121159,10,2,17545,0
98,BitMart,111048499,36,27,35293,0
99,Cartesi,110375194,16,0,93833,244
100,Everscale,108168359,50,3,125968,14
101,Venus,105979230,13,5,26066,0
102,Pundi X,102856692,38,35,56482,4
103,Gemini Dollar,98846506,7,5,13598,1
104,Alchemy Pay,98077793,20,29,39407,0
105,BORA,97533492,27,4,70700,1
106,MVL,97506454,44,13,86230,18
107,TerraClassicUSD,97224544,16,1,30872,9
108,Stratis,93716419,21,24,46921,0
109,Function X,93270365,24,0,46877,4
110,Numeraire,91096062,5,1,9677,3
111,Status,85773029,35,46,44226,0
112,Mines of Dalarnia,84793628,12,30,14743,0
113,dKargo,84228456,42,17,73804,0
114,Hive,83180282,9,0,28740,0
115,inSure DeFi,82208988,8,0,26491,15
116,Steem,80322727,32,1,95159,5
117,STP,71515276,3,1,5846,0
118,Constellation,69288519,17,7,31488,9
119,Dent,69152110,30,79,46302,1
120,Medibloc,68687622,30,28,57415,3
121,QuarkChain,67518616,50,37,42582,0
122,Civic,66130106,18,40,218,1
123,DODO,64748148,30,13,41434,26
124,Velo,64677924,27,3,54064,5
125,Propy,63968843,31,11,48671,1
126,ARK,63011177,17,5,39801,9
127,Secret,62673279,16,16,53224,0
128,Celer Network,62515791,68,5,148645,73
129,WazirX,62067494,22,15,15670,1
130,Keep Network,62015300,11,0,38525,3
131,Bluzelle,61433695,42,12,71550,2
132,Verge,61365788,16,15,33961,8
133,Aurora,60067053,9,0,15724,0
134,Syscoin,59981273,14,3,77202,8
135,Shadow Token,59892023,18,25,15987,0
136,Polymath,58298226,18,4,42159,0
137,Hunt,56682593,20,1,42034,3
138,Storj,54556424,90,1,206668,36
139,Bifrost,54235788,25,0,55674,0
140,Tokamak Network,53444953,126,0,320375,84
141,MAP Protocol,44534859,26,27,36982,1
142,Zano,43184001,20,18,45436,21
143,Sologenic,42378234,50,72,127829,5
144,LTO Network,42349124,10,9,16022,0
145,Mainframe,41850245,35,56,57145,0
146,Elastos,41400262,25,13,38534,3
147,RigoBlock,40111458,8,4,43108,0
148,Cortex,39952421,44,11,140833,9
149,Bitgert,38575203,23,23,24383,0
150,Aergo,38122210,69,35,143271,13
151,Ren,37752275,17,2,22755,0
152,Litentry,35757360,30,0,41041,20
153,ThunderCore,35752302,11,0,26527,5
154,DeGate,35039093,8,0,15902,9
155,Celo Dollar,34847041,14,0,47431,0
156,Steem Dollars,34218972,32,1,100235,5
157,Strike,33618030,14,0,15688,5
158,Skey Network,32855162,40,26,89908,30
159,Carry,32545009,39,21,61067,6
160,Kin,32469031,28,21,49161,0
161,Ultra,32139486,49,151,50871,0
162,Wanchain,31966726,34,46,62744,37
163,SWFTCOIN,30503439,32,13,39443,0
164,Guild of Guardians,30406624,33,8,55417,0
165,Star Atlas DAO,29136784,42,0,52415,0
166,Linear,28552488,12,0,24318,0
167,GXChain,28459171,42,10,59410,3
168,Star Atlas,28451753,42,0,52415,0
169,AscendEx,28172074,12,12,22034,1
170,NULS,27616907,15,15,22858,1
171,district0x,27552782,22,21,31323,6
172,Phoenix Global [OLD],27423032,6,9,8138,0
173,Decimal,27344234,60,22,63929,27
174,Verasity,27314838,40,94,79111,0
175,Groestlcoin,27003354,19,0,52206,145
176,BLOCKv,26841970,27,27,68616,0
177,Reef,26801692,20,1,35127,42
178,Hoppy,26297788,13,36,6028,0
179,Polkastarter,26245913,26,58,16453,0
180,SelfKey,25898267,29,10,58816,2
181,Gifto,25770655,54,315,82924,1
182,PolySwarm,24552395,33,8,57710,3
183,Stratos,24202506,42,19,52809,1
184,Huobi BTC,22308066,4,0,4365,0
185,Klever,22305248,24,24,20687,0
186,UniLend Finance,21449884,16,16,0,0
187,AdEx,21328228,33,34,53389,4
188,KILT Protocol,20833187,9,7,17566,0
189,Diamond,20828518,15,16,33968,0
190,NuNet,20125105,43,6,194417,1
191,SafeMoon,19062450,8,8,4803,1
192,PAID Network,19003508,20,0,62141,4
193,BTU Protocol,18858497,21,2,45489,0
194,PIVX,17298929,18,6,11757,7
195,Swarm,16733561,43,21,70660,0
196,MaidSafeCoin,15549927,8,2,25389,0
197,Saito,14980186,6,4,28166,0
198,AirSwap,14955768,13,0,15868,0
199,Cryptex Finance,14948424,7,0,17225,14
200,Quantum Resistant Ledger,14094576,15,9,39808,105
201,Velas,14043324,26,8,37309,4
202,ScPrime,13985011,27,6,77057,11
203,Bitcoin Diamond,13540102,16,701,46156,9
204,Dacxi,9880041,5,3,5049,0
205,Viberate,9684992,34,0,58391,0
206,Ovr,7578832,61,60,74339,5
207,DeepBrain Chain,7185367,35,77,80402,15
208,Energi,5718678,25,49,1995,0
209,Torum,5667187,32,17,43484,0
210,Era Swap,5619656,97,11,330104,159
211,Gari Network,5555482,19,128,31392,2
212,FOAM,5483201,23,254,50212,1
213,azit,5465082,21,1,28781,0
214,Swash,5447906,38,24,74975,9
215,BOSagora,5431263,42,2,84264,9
216,Tap,5409074,54,99,62430,2
217,Smart Valor,5292742,103,100,204253,27
218,BABB,5240106,56,71,88172,0
219,Oxen,5124339,24,0,69888,3
220,Dragonchain,5100671,15,6,30051,0
221,REVV,5062083,11,26,12843,0
222,Presearch,4925832,39,24,83742,13
223,BEAM,4807616,4,0,10350,1
224,WOM Protocol,4731836,20,2,28395,122
225,Vai,4446566,13,5,25533,0
226,Prizm,4353299,44,44,0,0
227,Bridge Oracle,2617520,24,34,41775,0
228,Crypterium,2578883,35,57,69402,3
229,Sora,2574883,16,15,6666,0
230,LockTrip,2538434,52,20,84116,0
231,Metronome,2488892,41,41,95047,28
232,Efforce,2484019,54,2,54017,1
233,KI,2461806,26,42,4873,0
234,MultiVAC,2437100,11,5,59804,64
235,Safe Haven,2404430,25,27,39296,53
236,UCX,2321407,20,19,47695,0
237,Parex,2288245,23,21,16614,0
238,Cashaa,2220267,33,17,74392,0
239,Tokenomy,2056521,88,40,108732,4
240,Populous,1968109,23,3,33872,22
241,Uno Re,1960166,20,0,16145,0
242,Dfyn Network,1956754,31,78,20757,0
243,Retreeb,1932573,24,0,38219,2
244,NAGA,1868451,77,72,125976,8
245,GNY,1844232,8,7,8677,2
246,hi Dollar,1815717,30,48,79568,0
247,Reddcoin,1811531,13,0,35792,1
248,Lympo,1801003,29,31,53457,11
249,CryptoFranc,1779195,40,158,69266,2
250,Gridcoin,1414298,12,1,27809,2
251,EvidenZ,1412600,35,9,82946,2
252,Nominex,1396037,33,6,46561,23
253,SALT,1351929,18,19,45812,0
254,Coldstack,1338981,14,4,16253,1
255,DSLA Protocol,1338332,28,7,123186,0
256,Ariva,1166638,44,123,37931,0
257,Hiblocks,1120705,49,110,66625,0
258,Odin Protocol,888809,32,9,78664,2
259,BiFi,885000,11,55,35025,1
260,Pillar,852171,39,10,59337,1
261,Biconomy Exchange Token,818307,8,27,10901,1
262,Cindicator,814813,37,18,97626,39
263,TenX,791757,51,42,73263,1
264,InsurAce,783390,26,9,43597,6
265,Unistake,620707,16,5,16280,0
266,IOI Token,620336,34,0,50115,26
267,Verox,566663,25,11,22375,1
268,BnkToTheFuture,558351,86,25,84942,1
269,ExchangeCoin,553850,21,44,29444,2
270,Space Token,526744,13,23,12977,3
271,Metaverse ETP,520707,35,35,95676,12
272,pNetwork,516479,15,0,29211,0
273,Revolt 2 Earn,504950,31,31,0,0
274,DOSE,494887,34,19,58554,0
275,Olyverse,490652,27,1,13329,0
276,Akropolis,480871,33,4,157291,25
277,Wagerr,463599,34,13,62476,5
278,Goons of Balatroon,431704,26,43,33237,1
279,Baby Shiba Inu,395573,9,100,7707,0
280,Bitcoin Plus,389493,5,1,15206,0
281,carVertical,362691,49,49,49367,1
282,CREDITS,360241,15,0,41596,2
283,RioDeFi,339253,29,29,34850,0
284,Nebulas,187782,27,7,37324,0
285,delta.theta,178791,16,41,24311,5
286,Linkeye,175750,30,30,42769,3
287,Autonio,174154,7,7,0,0
288,Zeusshield,165369,44,44,49554,1
289,Everex,159971,27,6,62054,3
290,Sifchain,149240,9,0,35033,0
291,Radar,147307,34,0,33885,0
292,WePower,145037,48,45,92510,0
293,ContentBox,142650,26,9,51715,13
294,OST,141475,35,41,85944,18
295,MediShares,140809,43,65,54365,2
296,Hedget,140381,34,1,80115,1
297,Einsteinium,138141,9,3,18594,1
298,Idavoll DAO,137232,15,5,21370,0
299,Genaro Network,135391,59,25,72240,1
300,Etherparty,131157,26,18,33669,0
301,AppCoins,123616,45,54,86945,5
302,GeoDB,117265,36,12,50304,2
303,Delphy,114330,1,1,0,0
304,GoWithMi,112186,42,26,68081,0
305,SmartCash,103362,22,67,15761,1
306,Ternio,101627,32,35,0,0
307,Little Angry Bunny v2,100348,11,147,7186,0
308,Falcon Project,99256,16,5,22660,0
309,CNNS,93487,49,0,76092,0
310,SONM,92147,42,11,88432,18
311,Enecuum,88031,39,3,83009,10
312,Qbao,85545,40,12,43565,0
313,Zeepin,83656,37,18,68811,1
314,Trinity Network Credit,82783,21,13,30644,3
315,Shibaverse,80019,47,37,49296,0
316,PolkaWar,76582,19,25,24085,17
317,Datamine,76417,18,9,26127,26
318,My Master War,75567,9,8,11065,0
319,Primas,70796,46,10,59694,8
320,IHT Real Estate Protocol,70730,25,11,38177,0
321,dFund,70297,15,32,11283,0
322,Zebi,65502,36,36,80758,3
323,Substratum,59942,23,3,26733,0
324,Neblio,59521,20,3,23353,0
325,TERA,57365,14,5,23700,6
326,KOK,57082,49,74,69489,0
327,Remme,55815,22,6,32901,1
328,Bismuth,54904,32,32,56779,32
329,HappyFans,52795,11,0,0,0
330,Dogira,48031,36,0,0,0
331,Lunyr,35256,21,12,47406,0
332,Tycoon,24116,42,39,56970,15
